scene,variant,target_fraction,confidence_psnr,opacity_psnr,confidence_minus_opacity_psnr,random_psnr,confidence_minus_random_psnr
garden,default_rank_margin_0_00,0.05,15.442133903503418,10.471395492553713,4.970738410949705,8.647360483805338,6.79477341969808
garden,default_rank_margin_0_00,0.1,20.541709899902344,15.70563793182373,4.836071968078613,10.093412081400553,10.448297818501791
garden,default_rank_margin_0_00,0.15,24.447799682617188,20.960458755493164,3.4873409271240234,11.370417594909668,13.07738208770752
garden,default_rank_margin_0_00,0.25,27.15933990478516,25.811996459960938,1.3473434448242223,13.678752263387045,13.480587641398115
garden,default_rank_margin_0_00,0.35,27.221630096435547,27.22109603881836,0.0005340576171875,15.814393043518066,11.40723705291748
garden,default_rank_margin_0_00,0.5,27.221630096435547,27.221630096435547,0.0,18.88973999023438,8.331890106201168
garden,default_rank_margin_0_00,0.75,27.221630096435547,27.221630096435547,0.0,23.63719876607259,3.584431330362957
garden,default_rank_margin_0_00,1.0,27.221630096435547,27.221630096435547,0.0,27.221630096435547,0.0
garden,default_rank_margin_0_05,0.05,15.42555046081543,10.343832969665527,5.081717491149902,8.662779490152994,6.7627709706624355
garden,default_rank_margin_0_05,0.1,20.49258804321289,15.484756469726562,5.007831573486328,10.096608479817709,10.395979563395182
garden,default_rank_margin_0_05,0.15,24.392004013061523,20.796142578125,3.5958614349365234,11.362634340922037,13.029369672139486
garden,default_rank_margin_0_05,0.25,27.148229598999023,25.762752532958984,1.385477066040039,13.650580724080404,13.49764887491862
garden,default_rank_margin_0_05,0.35,27.232383728027344,27.23248672485352,-0.00010299682617542771,15.823532422383623,11.40885130564372
garden,default_rank_margin_0_05,0.5,27.232383728027344,27.232397079467773,-1.33514404296875e-05,18.876797993977863,8.35558573404948
garden,default_rank_margin_0_05,0.75,27.232383728027344,27.232397079467773,-1.33514404296875e-05,23.640730539957683,3.5916531880696603
garden,default_rank_margin_0_05,1.0,27.232383728027344,27.232383728027344,0.0,27.232383728027344,0.0
garden,default_rank_margin_0_10,0.05,15.501626968383787,10.265827178955078,5.235799789428709,8.659088770548502,6.842538197835285
garden,default_rank_margin_0_10,0.1,20.49638938903809,15.44611930847168,5.05027008056641,10.116745630900065,10.379643758138025
garden,default_rank_margin_0_10,0.15,24.3966121673584,20.75792121887207,3.638690948486328,11.369094848632812,13.027517318725586
garden,default_rank_margin_0_10,0.25,27.167015075683597,25.753103256225582,1.413911819458015,13.65440559387207,13.512609481811527
garden,default_rank_margin_0_10,0.35,27.237285614013672,27.23714828491211,0.0001373291015625,15.818011919657389,11.419273694356283
garden,default_rank_margin_0_10,0.5,27.237285614013672,27.23726463317871,2.09808349609375e-05,18.889803568522137,8.347482045491535
garden,default_rank_margin_0_10,0.75,27.237285614013672,27.23726463317871,2.09808349609375e-05,23.638739903767902,3.5985457102457694
garden,default_rank_margin_0_10,1.0,27.237285614013672,27.237285614013672,0.0,27.237285614013672,0.0
garden,default_rank_margin_0_25,0.05,15.640417098999023,10.391700744628906,5.248716354370117,8.667170524597168,6.9732465744018555
garden,default_rank_margin_0_25,0.1,20.517824172973636,15.53501796722412,4.982806205749517,10.100571950276693,10.417252222696943
garden,default_rank_margin_0_25,0.15,24.341136932373047,20.835594177246094,3.505542755126953,11.3440310160319,12.997105916341146
garden,default_rank_margin_0_25,0.25,27.14809799194336,25.7080192565918,1.440078735351559,13.626555760701498,13.521542231241861
garden,default_rank_margin_0_25,0.35,27.19129180908203,27.19126892089844,2.2888183590197286e-05,15.779022534688314,11.412269274393717
garden,default_rank_margin_0_25,0.5,27.19129180908203,27.19129753112793,-5.7220458984375e-06,18.8592046101888,8.33208719889323
garden,default_rank_margin_0_25,0.75,27.19129180908203,27.19129753112793,-5.7220458984375e-06,23.612613677978516,3.5786781311035156
garden,default_rank_margin_0_25,1.0,27.19129180908203,27.19129180908203,0.0,27.19129180908203,0.0
garden,default_rank_margin_0_50,0.05,15.688604354858398,10.549585342407228,5.13901901245117,8.694905281066895,6.993699073791504
garden,default_rank_margin_0_50,0.1,20.488374710083008,15.621522903442385,4.866851806640623,10.135810852050781,10.352563858032227
garden,default_rank_margin_0_50,0.15,24.383176803588867,20.78563690185547,3.5975399017333984,11.40696652730306,12.976210276285807
garden,default_rank_margin_0_50,0.25,27.10678482055664,25.5825252532959,1.5242595672607422,13.70529047648112,13.401494344075521
garden,default_rank_margin_0_50,0.35,27.1696891784668,27.169418334960938,0.0002708435058629277,15.823846181233725,11.345842997233076
garden,default_rank_margin_0_50,0.5,27.1696891784668,27.16962242126465,6.675720215199021e-05,18.887422561645504,8.282266616821296
garden,default_rank_margin_0_50,0.75,27.1696891784668,27.16962242126465,6.675720215199021e-05,23.615645090738933,3.554044087727867
garden,default_rank_margin_0_50,1.0,27.1696891784668,27.1696891784668,0.0,27.1696891784668,0.0
garden,default_rank_margin_1_00,0.05,15.384567260742188,10.521198272705078,4.863368988037109,8.70022455851237,6.684342702229818
garden,default_rank_margin_1_00,0.1,20.256275177001957,15.505328178405762,4.750946998596195,10.138327280680338,10.117947896321619
garden,default_rank_margin_1_00,0.15,24.15997695922852,20.522480010986328,3.637496948242191,11.369725545247396,12.790251413981123
garden,default_rank_margin_1_00,0.25,27.062170028686523,25.5159912109375,1.5461788177490234,13.65726629892985,13.404903729756674
garden,default_rank_margin_1_00,0.35,27.13670921325684,27.135234832763672,0.0014743804931676152,15.799597104390463,11.337112108866377
garden,default_rank_margin_1_00,0.5,27.13670921325684,27.136653900146484,5.5313110355115214e-05,18.875773747762043,8.260935465494796
garden,default_rank_margin_1_00,0.75,27.13670921325684,27.136653900146484,5.5313110355115214e-05,23.595823923746746,3.5408852895100935
garden,default_rank_margin_1_00,1.0,27.13670921325684,27.13670921325684,0.0,27.13670921325684,0.0
